frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
27.3450,Архангельская обл.,2 декабря 2021,NFM,Голос,Сухопутная подвижная,Такси в Коряжме,"имена, номера"
27.1550,Архангельская обл.,2 декабря 2021,NFM,Голос,Сухопутная подвижная,Такси в Коряжме,"имена, номера"
154.4500,Архангельская обл.,20 ноября 2021,NFM,Голос,Сухопутная подвижная,неизвестна,имена
154.7000,Архангельская обл.,6 декабря 2021,NFM,Голос,Сухопутная подвижная,Финтранс ГЛ Коряжма,имена
154.4250,Архангельская обл.,20 ноября 2021,NFM,Голос,Сухопутная подвижная,Финтранс ГЛ Коряжма,имена
104.0000,Архангельская обл.,4 декабря 2021,WFM,Голос,Радиовещательная,ст. Кизема,"Радио России, Радио Поморье"
103.8000,Архангельская обл.,21 ноября 2021,WFM,Голос,Радиовещательная,Котлас,"Радио России, Радио Поморье"
105.5000,Архангельская обл.,4 декабря 2021,WFM,Голос,Радиовещательная,Котлас,Русское радио
100.8000,Архангельская обл.,21 ноября 2021,WFM,Голос,Радиовещательная,Котлас,Юмор FM
155.0750,Москва,2 декабря 2021,NFM,Голос,Сухопутная подвижная,РЖД,"Номер локомотива, фамилии"
145.3500,Тула,1 декабря 2021,NFM,Голос,Любительская,,"Любительские, чаще вовсе без позывных."
5.9800,Саратов,1 декабря 2021,АМ,Голос,Радиовещательная,Великобритания,ВВС
5.9900,Саратов,30 ноября 2021,АМ,Голос,Радиовещательная,Румыния,Международное Радио Румынии
155.7750,Санкт-Петербург,29 ноября 2021,NFM,Голос,Сухопутная подвижная,ОАО РЖД,по номерам
152.2000,Архара,27 ноября 2021,NFM,Голос,Сухопутная подвижная,ОАО РЖД,Путейская частота
151.9500,Жабинка,27 ноября 2021,NFM,Голос,Сухопутная подвижная,Неизвестно,
15.1350,Саратов,26 ноября 2021,АМ,Голос,Радиовещательная,США,Radio Free Asia
152.0500,Москва,25 ноября 2021,NFM,Голос,Сухопутная подвижная,РЖД,"Номер тепловоза, фамилии"
